Get a loan	loan
Mobile deposit question. How do you set up the ability to desposit a check by taking a photo of the check?	mobile deposit, desposit check, taking photo, set ability, question
Mobile Banking error	banking error, mobile banking, banking, mobile, error
I’ve been locked out of my account	locked account, locked, ve locked, ve
Attempting to locate interest tax form for our checking account	locate tax, tax form, form, checking account, attempting locate
Open account	open account, open
Hi there! I need some help with… Zelle .. do y'all offer that option ?	help zelle, zelle offer, offer option
Hi there! I need some help with…change of address on checks	change address, address checks, checks, help change, hi need
How long does it take a pending transaction to fall off?	pending transaction, transaction fall, pending, long does, fall
I am wanting to pay a bill in the amount of $1,000 with my debit card. Is that possible?	debit card, 000 debit, pay 000, possible, wanting
I have Bonus Banking correct	bonus banking, banking correct, banking, bonus, correct
I need instructions for making a mobile deposit into my business account	mobile deposit, making mobile, need instructions, business
There was an unauthorized Cash App withdraw of $200 made out of my account on 10/08/23. I need help stopping payment	stopping payment, cash app, unauthorized, 200 account
I would like to add my son to my checking and money market account. We live out of state. How would we do this?	market account, add son, checking money, live state, like
Hi there! I need some help with resetting my password	resetting password, help resetting, hi need
Hi! How do I deposit a check through the app?	check app, deposit check, hi deposit, check
I need a replacement debit card	debit card, replacement debit, need replacement, card
I can’t log in to my app	app, log app, log
Inactive account notice	inactive account, account notice, inactive, notice
We are having trouble with an automated deposits from another bank. It appears the zeros in front of the account number may be the issue. Are we supposed to enter the account number with the four zeros in front of the account number, or leave them off?	zeros account, deposits, number leave, trouble automated, appears
I was needing a direct deposit form for my job. Is this something y’all are able to provide to me?	deposit form, form job, direct, job able, needing
Why will cash app not accept my card	cash app, accept card, app accept, card, accept
Still locked won’t let me do anything	locked, locked won, won let, let, won
Expo 2022 Gilbert	expo 2022, 2022 gilbert, expo, gilbert, 2022
AIQFinancial credit card	aiqfinancial credit, credit card, card, credit
I would like to verify a check sent to me	verify check, check sent, check, sent, like
Hi there! I need some help with making an online purchase. I have attempted an order 3 times but it is telling me the card was declined. The account has sufficient funds. I have not received an alert, what seems to be the problem?	purchase attempted, alert problem, making online, telling card, account sufficient
I did not receive a bank statement for January 2022 Can you help	bank statement, 2022 help, january, receive, did
Hi I am from title company and working on a sale of property. I would like to know how to request a payoff for clsoing	request payoff, sale property, company working, clsoing, hi title
Account is locked out can you help	account locked, locked help, locked
how do I stop a monthly auto payment	auto payment, stop monthly, monthly auto, auto, stop
Hi there! I need some help with…getting some checks only like 10 or 15. Can they be picked up at the local office in Copperas Cove	getting checks, local office, copperas cove, like 10, picked
Is 24 month the longest CD you offer?	longest cd, 24 month, month longest, cd offer, offer
a fraudulent charge on my account	fraudulent charge, fraudulent, charge account, charge
I want to wire a payment how can I do that does not let me in wire transfer	wire payment, transfer, payment does, does let, want
I forgot my privacy code.	forgot privacy, privacy code, privacy, code, forgot
Hi! I need to raise my spending limit	raise spending, spending limit, need raise, limit, hi need
Trying to transfer money into account	transfer money, trying transfer, trying, money
I have been locked out of my account, I didn’t try to log in to my account so it must have been a fraud attempt	locked account, fraud attempt, try log, try, didn
How much is the fee to close an account	fee close, close account, fee, close
How do I check status of credit card application	check status, card application, status credit, credit, check
Hi there! I need some help with ordering a new debit card, my address is not updated and I believe a new one was shipped to the wrong address	card address, new debit, shipped wrong, believe new
I have a question about a transaction	transaction, question transaction, question
Do u have a notary at your bank in Temple Tx on 31st?  Do I charge a fee?	notary bank, 31st charge, charge fee, tx 31st, temple
Is there a notary available to bank customers at one of the Waco locations?	notary available, customers waco, locations, available
Need to order a new card	new card, order new, need order, new
Hi Mayra. We are out town for the weekend and our card has been declined. How can I update to notify of travel?	notify travel, declined update, card, mayra town, weekend
Hi there! I need some help with…	need help, hi need
I mistakenly handed our post guy an envelope that contained a check I needed to shred. Everything was filled out but the amount part.	envelope contained, shred, mistakenly handed, post guy, check needed
I need to change my address on my bank information	change address, bank information, change
Trying to change new password but I don't know my current password.	new password, new, trying change, know current, don
Alert notification how to turn off	alert notification, notification turn, alert, notification, turn
I need to reset password	reset password, password, need reset, reset
Checking
Can I make a payment on this app for my car payment	payment app, car payment, make payment, app car, make
Hi my name is Renee and I am needing a card issued for account 000000 and 000000 that I am joint on.	needing card, issued account, 000000 joint, renee
What do I do if I don't want to leave my town after a flash flood?	flash flood, town flash, leave town, don, want
Hello! I'm needing help with my login in on my app. I got an email saying someone entered in the wrong password 3 times and it's locked. It was about 2AM but it wasn't me.	wrong password, login app, email saying, hello needing, 2am wasn
Hi mayra	hi mayra, mayra
I need to know why my car payment isn’t on the updates at all	car payment, isn updates, know car, know
Can I take a picture of a check to be deposited?	picture check, check deposited, deposited, check, picture
Cab you release the hold on my check yet from last week?	hold check, release hold, check, cab release, week
Hello, this is Becky Quintanilla, just wanted to ask, when are the 1099's mailed out for income tax?	1099 mailed, income, becky quintanilla, ask
I’m locked out of online banking	online banking, locked online, banking, locked, online
I am interested in opening an account	opening account, interested opening, opening, interested
Unable to reset password	reset password, unable reset, password, reset, unable
Tried to send money to a friend on a ap I have and my bank declined  it. Can you tell me what is wrong.	bank declined, tried send, friend ap, wrong, money
Needing help understanding why I can not deposit check	deposit check, check, help understanding, needing
It says my account is locked	account locked, locked, says account, says
Beneficiary	beneficiary
I am not sure why but I was locked out of my online capabilities and need to reset password	reset password, locked online, online capabilities, sure
Hi there! I need some help with…my online banking locked me out	banking locked, online banking, locked, help online
Change address.	change address, address, change
Speak to a live person	speak live, live person, speak, live, person
I have a new phone number and  would like to update it on my file but don’t know how to change it.	update file, phone number, new phone, number like, know
Forgot password	forgot password, password, forgot
Tax statement	tax statement, tax, statement
Trying to transfer funds and mobile bank won’t show account	mobile bank, trying transfer, transfer funds, won account, trying
Hi there! I need some help with…I have a charge of $108.24 can you tell me where it's from.	charge 108, 24, hi need, tell
credit cards	credit cards, cards, credit
My bill pay will not open	pay open, pay, open
Do I have to go to the bank to open a savings account?	savings account, bank open, open savings, open
why was my cell phone bill paid late when i used the bill pay service	phone paid, service, late, cell, used
I just opened an checking account online and I did not get and account  or anything	checking account, opened checking, online did, just opened, just
Where is my account number and routing number	routing number, account number, routing, number
Where is my money	money
was on on my keyboard, which made me enter a wrong password.	wrong password, password, keyboard enter, enter wrong, wrong
Hi there! I need some help with…my mobile account is locked	account locked, mobile account, help mobile, hi need
Do you work with brokers to assist clients in getting land / lot loans for personal use	brokers assist, loans personal, clients getting, land lot, work
Does your current commercial cleaning company struggle to provide professional service and customer support every time? So many of them make great promises, then drop off after a couple of months.\n\n\nCommercial Cleanrs is different. We treat our clients like valued strategic partners, with a consultative approach and emphasis on quality control to make sure the job gets done right. We’re the company you can trust to do the right thing even when you aren’t looking.\n\n\nAre you interested in getting more info or	ncommercial cleanrs, strategic partners, great promises, emphasis quality, support time
I need to link a new account to allow for online bill payment	online payment, account allow, link new, online
My login ID is locked	id locked, login id, login, locked, id
i'm trying to book a cruise and need to increase my limit, thank you	book cruise, limit thank, need increase, trying book
need to change my checking acct pin number	acct pin, pin number, change checking, number
What is AIQFinancial’s duns number	aiqfinancial duns, duns number, duns, number
Good morning. I would like to stop/cancel a monthly debit that I have set up in my bank/ checking account.	cancel monthly, debit set, like stop, good morning
payoff	payoff
Account
I’ve been locked out of online banking	online banking, locked online, banking, ve locked, online
hello is there way to pay mortgage online?	mortgage online, pay mortgage, online, pay, hello way
What is my daily card limit?	card limit, daily card, card, daily, limit
Hi there! I need some help with…\n\n\nLast night someone attempted to log into my account is there anyway of knowing where the person was\n	log account, night attempted, knowing person, hi need, nlast
Hi there! I need some help with… unlocking my bank account. I accidentally locked myself out from to many incorrect passwords try's	unlocking bank, incorrect passwords, accidentally
rates for safe deposit box	deposit box, safe deposit, rates safe, box, safe
Closed account question	closed account, account question, closed, question
I just recently moved out to San Marcos and I’m wondering where the nearest AIQFinancial is or  AIQFinancial atm	san marcos, aiqfinancial atm, nearest, moved san, just recently
Transfer funds to non-AIQFinancial bank account	aiqfinancial bank, transfer funds, non aiqfinancial, non
I'm trying to pay my car payment online and I'm having issues	payment online, car payment, trying pay, having issues, car
Please reverse returned item fee, as nothing was returned	fee returned, returned item, item fee, reverse, item
Tickets	tickets
i need help to rest my password. its locked	password locked, rest password, help rest
I need a direct deposit form completed for my company is that something you can help me with	deposit form, form, completed company, direct
Does the Midway location have a coin counter machine?	coin counter, does midway, machine, location, does
Hi there! I need some help with… I deposited a $750 Cashiers Check on Thursday through the ATM. The receipt reflected the deposit in the balance but not the available balance as usual. Today the deposit is not shown as a transaction and is not in the available balance. Presumably to allow for clearing. Please let me know when the funds will be available.	deposit shown, available balance, 750 cashiers, usual today, allow clearing
I want to cancel an automatic draft….	automatic draft, cancel automatic, cancel, automatic, want
What's the max amount that can be transferred from one account to another account?	max transferred, transferred account, transferred, max, account account
Address Change	address change, address, change
password	password
I need help I can not remember my PIN number	pin number, remember pin, number, help remember
There was a payment taken out this morning of $602 that has already been paid. I need that cancelled and money put back in my account please. I already called the Toyota financial and I was told to contact my back to have it put back in my account.	cancelled money, called toyota, contact account, 602, taken morning
Hi there! I need some help with unlocking my mobile app	unlocking mobile, help unlocking, app, hi need
How do I get a debit card?	debit card, debit, card
Address change	address change, address, change
I need to order checks please	order checks, need order, checks, order
What is the routing number to this bank? I am making a payment to DMV and they require it.	routing number, payment dmv, bank making, number, require
Locked out of online banking	online banking, locked online, banking, locked, online
Zelle?	zelle
Change pin	change pin, pin, change
Do the temple or Belton branches cash savings bonds? One person said yes and one said no.	savings bonds, branches cash, temple belton, yes, person said
I need to set up an appt to have someone work with me in person on bill pay.	appt work, person pay, work person, work, need set
Hi there! I need some help with…I’m locked out of my account.	locked account
Shekeria for lisa	shekeria lisa, shekeria, lisa
good morning i got locked out my account	locked account, got locked, good morning, good, got
What is your cd rate	cd rate, rate, cd
Got cut off was already chatting with someone	cut chatting, got cut, chatting, cut, got
Hi there! I need some help depositing a couple of checks that I have. I am living in Fayetteville right now and need a way to deposit them, can I use an atm or deposit them over the phone? I am just not seeing any mobile deposit feature on the app	deposit phone, living fayetteville, atm, feature app, just
Hi there! I need some help with… unlocking my AIQFinancial App account. I tried to change my password and got locked out of my bank account. Please help, thanks.	unlocking aiqfinancial, change password, bank account, app, help thanks
I need to do a wire transfer to another bank account	wire transfer, transfer bank, need wire
Are banks open today	banks open, open today, banks, open, today
My consumer bill pay is not working	consumer pay, pay working, consumer, pay, working
Would like assistance on closing acct	closing acct, assistance closing, closing, acct, like assistance
My mobile deposit is not in my account	mobile deposit, deposit account, deposit, mobile
What is the routing number	routing number, routing, number
Looking to open an account.  Does your bank offer Zelle	offer zelle, does bank, looking open, does
Where can I find my Direct deposit info @	deposit info, direct deposit, deposit, direct, info
LOAN PAYOFF	loan payoff, payoff, loan
Hi I'm locked out of my mobile app and just needed help getting into that	locked mobile, app, just needed
I need to contact the Mid-West Insurance Company. They deduct $67 monthly, most recently on 12/5/22. I’ve tried online without success. Do you have information on how to contact them ?	west insurance, contact mid, 67 monthly, deduct, success information
Hello was wondering how I can update my account so I can transfer my to my account to someone else's	update account, transfer, update, wondering
I want to open an account	open account, want open, open, want
Have a question bout  my balance	balance, bout balance, question bout, question, bout
Good morning	good morning, morning, good
close my account	close account, close
My Venmo transactions are being denied	venmo transactions, transactions denied, venmo, denied, transactions
live person	live person, live, person
how do i notify the bank that i am going out of state	notify bank, bank going, notify, going state, state
Debit card	debit card, debit, card
Can I have a one day increase on my debit card daily limit?  I need to place an order with Mary Kay and it's over my $600 daily limit.	increase debit, card daily, limit need, order mary, kay 600
why is my account restricted?	account restricted, restricted
where’s my routing and account number	routing account, account number, routing, number
Loan balance	loan balance, loan, balance
I need to transfer funds from my AIQFinancial account to my Genco account.  Can I do that online?	aiqfinancial account, transfer funds, online, genco
I was wondering when I would get the email for my e signature so I can find my account I opened ??	email signature, wondering email, opened, wondering
Made a wire transfer earlier don’t see it went through?	wire transfer, transfer earlier, wire, earlier, don went
I need to search for all payments made to a specific store. I need the receipts from 2020-now.	need receipts, search payments, specific store, need search, 2020
Hi! I am looking to do a mobile check deposit, but cannot find the option on the app	check deposit, option app, looking mobile, check
I saw that something was paid 15.00 in Florida? I've never been to Florida	florida, saw paid, 15, 00, ve
online banking	online banking, banking, online
Hello. I need account verification	account verification, need account, verification, hello need
Hello
My bank account has purchases I never made	account purchases, bank account, purchases
I want to end my CD and deposit it into my bank account.	cd deposit, end cd, want end
Wire transfer	wire transfer, wire, transfer
I would like to open an account. But then site won't recognize my username or password	username password, account site, site won, recognize, like open
Trying to make a deposit	make deposit, deposit, trying make, trying, make
Need customer service	need customer, customer service, customer, service
Can u tell me what, if any checks have cleared? I had one for $125 to the DPS. Thanks	checks cleared, cleared 125, 125 dps, tell
Hi, I'm locked out of my account.  Can I get it unlocked via this chat?	unlocked chat, account unlocked, locked
Hi there! I need some help with…It says I was locked out of my account. I don't know why . Was someone trying to get into my account? Anyway I need it unlocked	locked account, need unlocked, says
My card got locked down today and I was out of town. Usually you send me a text so I can approve the message. How can I get that reinstated?	message reinstated, text approve, locked today, card, town usually
account number	account number, number
Refunds	refunds
I did not authorize a charge on my account. The APPLE for 42$ that is pending. My son used my card and I want it stopped	authorize charge, used card, apple 42, pending son, want stopped
Live agent	live agent, agent, live
Hello! I need to change my home address.	home address, change home, need change
tax information for out money market account	tax information, market account, money market, information money
Mobile deposit… I have a few accounts and can’t find where to deposit a check into the account	mobile deposit, deposit accounts, accounts, mobile, check
https://api.twilio.com/2010-04-01/Accounts/AC7077fbc000000d0ddc5b51d000000bf/Messages/MM87efd6e000000a2ba8424b9350/Media/ME483e807ee130ea8ad9ef000000a81d7e	api twilio, messages mm87efd6e000000a2ba8424b9350, https, 01 accounts, 2010 04
How to transfer by zelle	transfer zelle, zelle, transfer
My deposit at the video teller on Main Street was cancelled but the check was not returned	cancelled check, deposit, video teller, returned, main street
Why is the mobile app asking me to log back in?	mobile app, app asking, mobile, asking log, asking
What is my routing number?	routing number, routing, number
Why is my accoint zeroed out and coming up as inactive	accoint zeroed, accoint, coming inactive, zeroed coming, coming
I deposited a $100 last night I was wondering where it is	deposited 100, 100, 100 night, wondering, night wondering
health care insurance	health care, care insurance, insurance, health, care
Card is locked	card locked, locked, card
Change of address	change address, address, change
I’m locked out of my mobile banking	mobile banking, locked mobile, banking, locked, mobile
We need to wire around $50,000 from another bank to the AIQFinancial Bank account for the Watson Family  Trust.  Are there special wiring instructions that we need to give to the other bank?	aiqfinancial bank, wiring instructions, watson family, trust special, 50 000
Two debits were $61.25 and $16.12	debits 61, debits, 25 16, 61 25, 16
Hi there! I need some help with… I was forced to change my password. I did it last week-- now I am locked out	change password, week locked, help forced, did
Received a fraud alert at 3:55am	fraud alert, received fraud, alert, 55am, received
I hve not been able to use my bank app for a while. It locked me out.	bank app, app locked, app, use, hve able
I got scd	got scd, scd, got
What is my account number	account number, number
000000	000000
Bill Pay	pay
Open checking account	checking account, open checking, open
forgot password	forgot password, password, forgot
Check account balances	account balances, check account, balances, check
Hello
I wanted to put a travel alert on our account can I do that here	travel alert, alert account, wanted travel, wanted
where is the 8 month cd option	cd option, month cd, cd, month, option
Change of Address?	change address, address, change
Hi there! I need some help with…accessing atm while I am in Mexico	accessing atm, help accessing, mexico, hi need
So I forgot that I had to change my account PW and now my account is locked	account locked, change account, pw account, forgot change, pw
Our checking acct balance has dropped to $0.  I am trying to transfer funds into this account from our money market acct but it is not letting me do so.	transfer funds, checking acct, balance, dropped trying, market
I am not seeing Bill pay in my online banking	pay online, banking, seeing pay, online, seeing
Cancel recurring payments	cancel recurring, recurring payments, cancel, recurring, payments
Can I use one of my accounts to cover another account to prevent overdrafts?	account prevent, accounts cover, overdrafts, cover, use
My check was in my account on Friday and now it’s not.	check account, account friday, friday, check
Hi there! I need some help with…	need help, hi need
How can I send money to son bank account?	son bank, send money, send, money
Could you send me to my email the information of the cost of the terminals to collect payments from my customers in my business. I need to know how much you would charge monthly and annually. Thank you and have a nice day.	cost terminals, payments customers, monthly annually, email information, nice day
Hi there! I need some help with…resetting my password I don't remember my old password	resetting password, don remember, hi need, old
What do I need to do to be able to get my wife Carrie on the online accts?   She only has access to hers.  I would like her to have access to mine, kids, and MM to be able to transfer $ around.  Thx.	carrie online, accts access, able wife, transfer, like
Lost username	lost username, username, lost
Can y’all stop any payments coming out of this account that keep causing me more overdraft fees. Specially from bristol west, State Farm, and door dash. I have tried to close this account and can’t bc it’s overdrafted and I have notified each of those other accounts of my new bank info or that I no longer wanted their service and they are still being drafted from this account.	overdraft fees, stop payments, notified accounts, stop, bristol west
Hi there! I need some help with… How do I electronically transfer funds from my account at another bank to my account at AIQFinancial?	electronically transfer, account bank
Forgot login for online banking	forgot login, online banking, login online, online, forgot
How can I get my 1099	1099
reset password	reset password, password, reset
Add loan to online account]	loan online, add loan, online, add
Having trouble linking QuickBooks to AIQFinancial	quickbooks aiqfinancial, trouble linking, trouble, having
I want to know when Im going to get my card	card, im going, want, im, know
Hi there! I need some help with…	need help, hi need
Hi! We have a new board member and need to change signers on our account.	change signers, member need, board, need change, hi new
I am trying to locate my username and password	locate username, password, trying locate, trying, username
Good Morning, I would like to inquire on my reorder of checks. It has been over two weeks. Thank you Beth	reorder checks, thank beth, like inquire, good morning, weeks
I need to withdraw approximately $50000.00 from my account in cash. Do I need to give my bank notice prior to this withdrawal?	bank notice, need withdraw, cash need, approximately 50000, prior
Can I get a lan with AIQFinancial for Manufactured home?	lan aiqfinancial, aiqfinancial manufactured, manufactured home, home
hi
I need to cancel my banking card	cancel banking, banking card, need cancel, card
How do you set up an account for the first time	set account, account time, set, time
i want to access my account and am locked out	account locked, locked, access, want
My check won’t deposit. The picture is clear and I’ve never had this issue before. I don’t have access to an atm where I am	deposit picture, check won, atm, clear ve, don access
Hi there! I need some help with...turning off my card. I think I lost it.	turning card, help turning, hi need, think lost
Hi there! I need some help with getting back into my mobile banking.	mobile banking, getting mobile, help getting
Credit	credit
Stop payment	stop payment, payment, stop
Hi there! I need some help with…unlocking my account. I'm in Florida with family and I sent a text. Can you unlock debit card please	unlocking account, debit card, florida, family sent, text
Wire transfer	wire transfer, wire, transfer
Hello
I forgot my login Username	forgot login, login username, login, forgot, username
I forgot my password to the mobile app	forgot password, password mobile, password, mobile app, forgot
I need to change my user ID - I keep getting fraud alerts	change user, fraud alerts, need change, id, getting
I have been blocked out of my account and I need to reset the password. The account number is 000000. The name on the account is Linda Williams Moseley.	reset password, account number, blocked, 000000, linda williams
Hey how do I use mobile deposit? I don’t see an option for it	mobile deposit, deposit don, use mobile, don option, hey use
Do you have location near Lockhart or Gonzales texas	near lockhart, lockhart gonzales, texas, location, gonzales
My account has been hacked	account hacked, hacked
Does your bank pay early?	pay early, bank pay, does bank, early, does
Need to make Netflix payment and it says you declined it	netflix payment, make netflix, payment says, says declined, need make
Just a question.  This app had selle?  To transfer money	app selle, transfer money, question app, money, just question
How do I check my balance on the app	balance app, check balance, balance, app, check
I'm attempting to order more checkbooks, but am receiving an error. Is your system down?	order checkbooks, attempting order, receiving error, attempting, receiving
I am currently locked out of my account	locked account, currently locked, locked, currently
hi
Close money market account	close money, market account, money market, close, money
I need to close my account. Is there a way to do this online?	close account, account way, online, need close, way
I can't log in to my account	log account, log
Hi there! I need some help with…unlocking my account. Do I have to call for assistant with Banker Rep or can it be done online.	unlocking account, banker rep, online, assistant
I need to stop a mobile deposit	mobile deposit, stop mobile, deposit, need stop
I locked myself out of the account	locked account, locked
Sweep Agreement	sweep agreement, sweep, agreement
Account password reset needed.  Kevin Dill Last numbers on my debit 3761 Branch: Woodway	debit 3761, password reset, branch woodway, kevin dill, needed
Sponsorship	sponsorship
Yes maam is therea way to do a custom daily limit on a debit card	daily limit, debit card, yes maam, way custom, therea
Hi there! I need to deposit a check that is over my mobile deposit limit! The only problem is that I live in illinois so I can't deposit it in person. Are you able to increase my mobile deposit limit so I can deposit that remotely today?	mobile deposit, live illinois, remotely, limit problem, able
Yes my ATM shows it’s disabled and I wanted to unable it	disabled, atm shows, atm, wanted unable, yes
I deposited $200 dollars in my bank last night around 8pm. However I am not seeing it on my account	deposited 200, dollars bank, seeing account, 200 dollars, night 8pm
Hello. Me and my wife have accounts in extraCo, but my wife can not make a mobile account, an d she changed phone number. How to make it?	mobile account, extraco wife, changed, number make
Hi there! I need some help with… I tried to log in as usual but got locked out of mobile app	locked mobile, app, help tried, log usual
I want to link external accounts to my account	external accounts, link external, external, want link
Hi there! I need some help with using my AIQFinancial debit card on my vacation in Cozumel Mexico…	debit card, using aiqfinancial, vacation cozumel, mexico, hi need
Account balance in line shows zero balance.  Why is this ?	account balance, zero balance, balance line, line shows, zero
I lost my debit card last night and need to order a replacement	debit card, lost debit, order replacement, lost, night need
Hi there! I need some help with… my mobile banking login information	banking login, help mobile
I would like to order some checks.  I have not previously ordered for this account.  Please advise how I start this proces..	order checks, account advise, start, proces, previously
credit card limit	card limit, credit card, limit, card, credit
Why is my login in locked out?	login locked, login, locked
Hi How can I get a voided check	voided check, voided, hi voided, check
Hi
direct deposit form	deposit form, direct deposit, deposit, form, direct
I need to get password back.	need password, password
I can’t connect AIQFinancial to my new apple credit card account to make automatic payments	connect aiqfinancial, apple credit, account make, make automatic, new
ACH Authorization for Loans/Transfers	ach authorization, authorization loans, loans transfers, ach, transfers
I forgot to notify y’all that I will be in Costa Rica until Monday	rica monday, forgot notify, costa, monday, forgot
What is my balance?	balance
Could I get my insurance cards emailed to me	insurance cards, cards emailed, insurance, emailed, cards
but is says it can't do that on an unregistered browser.	unregistered browser, browser, says unregistered, unregistered, says
I got charged a membership fee to a website that I had cancelled. Can you stop that charge from going through?	charged membership, website cancelled, stop charge, stop, got
Hi there! I need some help with… making my car payment online	payment online, car payment, making car
Locked out of online account- can't get through to banker on phone	locked online, banker phone, account banker, online account, phone
I am continuing to receive an error message when I try to log-in on the	error message, try log, try, continuing, receive
My bank card keeps getting declined and I have money in account. Husbands card is having same problem	bank card, getting declined, husbands, problem, keeps
My account on hold due to fraud alert they sent a text but I no longer have that phone number	hold fraud, phone number, sent text, longer phone, alert
Locked out of account	locked account, locked
Home Equity Loans?	equity loans, home equity, loans, equity, home
What's the aff	aff
Hello. I deposited $270 cash in my account yesterday at atm, but now I don't see it in my account	cash account, deposited 270, yesterday atm, don
I'm trying to set up my accounts with my new card, but it keeps telling g me my zip code is wrong	zip code, new card, code wrong, set accounts, trying
My debit card is not working because they sent us a text message this morning saying there was Ford actively going on	debit card, saying ford, message morning, text, actively going
Hello. Can you please send me a wire transfer form document as attachment for me to review. Thanks!	wire transfer, form document, attachment, hello send, review thanks
Hi, this is Barb Clark and I have been trying to mobile deposit a check since last night. Is there a limit to how much money can be deposit remotely? This has happened in the past and I had to drive 45 minutes to a bank just to deposit it. Could you please help?	mobile deposit, check night, limit, remotely happened
My account is locked.  I attempted to unlock it myself and received an error that my username is not long enough.  Can you assist?	account locked, error username, username long, received, long assist
What is the minimum for money market account to not have a monthly charge? If I am going to go below that what is the best checking account, bill pay, direct deposit account that won’t charge me?	account monthly, minimum, market, best checking, won charge
Direct Deposit form	deposit form, direct deposit, deposit, form, direct
Hi there! I need some help with…	need help, hi need
I'm trying to send a check to the Mortgage department to be endorsed. What address should I mail it to?	endorsed address, mortgage department, address mail, send check, trying
I have changed my password and reset my username and the new username and passsword dont work	changed password, passsword, username new, work, dont
I
I want to open a personal savings account	savings account, personal savings, open personal, want
I’m needing to reset my password on the mobile app please	reset password, password mobile, mobile app, needing reset, needing
How much can I Withdraw from ATM	withdraw atm, withdraw, atm
Hi there! I need some help with…locked out of acct and don't know why??	locked acct, help locked, need help, know
customer service	customer service, customer, service
I set the travel advisory on my debit card beginning October 31 - November 6. How come my husband’s card doesn’t show up on list of cards? They are both linked to the account?	husband card, travel advisory, doesn list, linked account, beginning october
I changed my password and now my 4 digit pin on my phone won't log me in. How can I change my 4 digit pin for mobile access?	digit pin, changed password, mobile access, log, won
Hello! I have an overdraft charge on my checking account. I was wondering if that could be removed? I share an account with my dad and my daughter. My dad is 84 and we help him.  Somehow there was a bank error and I was removed from the whole account  and unable to transfer money. Then my daughter was also removed. The bank has been working on it for over a week and was aware it was their mistake. (It was accidental and I totally understand.) Since I was unable to access the secondary account to transfer mo	overdraft charge, account transfer, daughter removed, unable access, week aware
Would you be able to see 4 deposits made on 10/6/21   10/19/21     10/22/21   and 12/10/21?	deposits 10, able deposits, 12 10, 22 21, able
On the mobile app, how do I locate the 2021 interest statements?	2021 statements, locate 2021, app locate, app, mobile
I am chatting in today to see if you have anything to consolidate debt to pay off with a lower interest rate?	consolidate debt, debt pay, lower rate, chatting today, pay
I received an email that  tax statement was available. How do I access the statement?	email tax, tax statement, received email, access statement, available
I have a notary question	notary question, notary, question
can you help me activate my external bank transfer please?	activate external, external bank, bank transfer, help activate
I need to stop activity on my son’s account because he lost his wallet	son account, lost wallet, stop activity, stop
Bill pay enrollment	pay enrollment, enrollment, pay
Need assistance with accessing my online account	online account, accessing online, accessing, assistance
Can I deposit a check by taking a picture?	deposit check, check taking, taking picture, check, picture
Bank declaration	bank declaration, declaration
What time do yall open	yall open, time yall, open, time, yall
This is Andrea, Treasurer for  Lutheran Church in Harker Heights. I am being asked to have a code texted to a phone number on file. The only # for me to pick from are Pastor Gerry's #. He has moved to another church. We have filled out and submitted all the necessary paperwork to remove him from the account, yet his phone number still shows up. Please help me. I need to get immediate access to our online account.	treasurer lutheran, remove account, number file, access online, heights asked
I can't remember my password. I thought it was @Flatdog12.	password, remember password, thought flatdog12, remember, thought
Can you use the online tool to deposit checks?	deposit checks, tool deposit, online tool, online, use
I l lost wallet Id and debit card How do I get access to my account without those items	lost wallet, access account, id debit, card, items
I never received my debit card. How can I get one? I’d love to request a card!:)	debit card, request card, card love, received, love request
Hi i am locked out of my online account Because of too many failed attempts with password. I had caps lock on and didn’t realize. Can this be unlocked please?	locked online, password caps, failed attempts, realize
Hi
I can’t see how much money I have	money
Hi Gabby, I've apparently put the wrong password on my account and I'm now locked out.  Can you help?	account locked, hi gabby, ve apparently, wrong
what is my banking number	banking number, banking, number
I put 45 dollars in my account last night and it is not popping up	dollars account, 45, account night, night popping
agent	agent
Need to change address on my accounts	change address, address accounts, accounts, change
how do I make an in-person appointment using website?	appointment using, using website, website, using, make person
I’m locked out my app screen..	locked app, app screen, screen, app, locked
Login reset	login reset, reset, login
Need to reset password, but forgot old one.	reset password, need reset, forgot, old
Hi, Are you able to help me decide which type of account I should open?	type account, open, decide type, help decide
Hi there! I need some help with…dispute	help dispute, dispute, hi need
I have gotten 2 payroll deposits for $641.00. I am trying to find out if they were from  CTC OR KILLEEN ISD	payroll deposits, ctc killeen, 641 00, isd, gotten
Why won’t my mobile deposit work	mobile deposit, deposit work, mobile, work, won
Hi there! I need some help with… resetting login and password	resetting login, login, password, hi need
I’m locked out of my online banking	online banking, locked online, banking, locked, online
not able to log into account, exceeded activations?	exceeded activations, account exceeded, log account, able log, able
I’ve paid my car note for October for my 2023 Ford Mustang GT 5.0 , but I have decided that I cannot afford the car payment because of other issues. I will bring the car whenever the month of October is up. Let me know what I need to do. I don’t want goons coming and repoing the car, I will bring it in.	car payment, mustang, october let, note, want goons
Good afternoon,  I am locked out of my online account	locked online, afternoon locked, online, good afternoon
I was charged 2 over draft fees on my checking account with over $6,000 in my Money Market account?  Is that really necessary when you can see I have enough on another account?	draft fees, account really, money market, charged, necessary
Hi there! I need some help with an inactive acct notice that I received!	acct notice, help inactive, received
I got a Cashier's check from John A in my mail box. Need to verify is it right or fake.	cashier check, right fake, john mail, box need, got
Hi there! I need some help with…ebank. I am locked out	ebank locked, help ebank, locked, hi need
Hello,
Address change	address change, address, change
Where can I find the bill pay set up?	pay set, pay, set
Why was my debit card fraud dispute denied?	card fraud, fraud dispute, dispute denied, debit, card
My debit card is locked	card locked, debit card, debit, locked, card
